sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 672019890, -127.7757797241211, -87.0721664428711, -124.00508117675781, 0, 0, 0, 0, 0, 0, 
1, 672028223, -125.6346664428711, -87.1368637084961, -126.11946868896484, 9.94497299194336, -0.3963771164417267, -0.3563593924045563, 3.5164895057678223, 14.908013343811035, 1.447217345237732, 
2, 672036556, -124.14820861816406, -87.18338775634766, -127.6017837524414, 9.986459732055664, -0.3823869526386261, -0.37188419699668884, 3.47927188873291, 15.775385856628418, 1.4669402837753296, 
3, 672044889, -121.58358764648438, -87.24750518798828, -130.13909912109375, 9.97673511505127, -0.39589419960975647, -0.3832941949367523, 3.557638645172119, 16.572463989257812, 1.6086511611938477, 
4, 672053222, -120.81547546386719, -87.2738037109375, -130.9029083251953, 9.972024917602539, -0.38922119140625, -0.3547251224517822, 3.6588282585144043, 17.446231842041016, 1.5666567087173462, 
5, 672061555, -117.82720947265625, -87.33744049072266, -133.86473083496094, 9.971577644348145, -0.38997337222099304, -0.3579725921154022, 3.495819091796875, 18.282716751098633, 1.566426157951355, 
6, 672069888, -116.90167999267578, -87.36485290527344, -134.7572021484375, 10.00135612487793, -0.38915857672691345, -0.39415261149406433, 3.5905275344848633, 18.973007202148438, 1.5279663801193237, 
7, 672078221, -113.5047607421875, -87.42268371582031, -138.1278076171875, 9.980377197265625, -0.4098537564277649, -0.36823657155036926, 3.5912322998046875, 19.602928161621094, 1.5409657955169678, 
8, 672086554, -112.44620513916016, -87.44212341308594, -139.1709747314453, 10.000771522521973, -0.39243799448013306, -0.3769984245300293, 3.5087289810180664, 20.462566375732422, 1.55026376247406, 
9, 672094887, -108.6276626586914, -87.49141693115234, -142.96246337890625, 9.992654800415039, -0.3838604688644409, -0.34715017676353455, 3.6555368900299072, 20.895612716674805, 1.5428740978240967, 
10, 672103220, -107.26936340332031, -87.5103759765625, -144.32167053222656, 9.999549865722656, -0.39969876408576965, -0.38354063034057617, 3.628885507583618, 21.504812240600586, 1.6320244073867798, 
11, 672111553, -103.05168151855469, -87.54480743408203, -148.5126190185547, 10.004029273986816, -0.4044903516769409, -0.3936753571033478, 3.6419363021850586, 22.01559829711914, 1.6943055391311646, 
