sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2325718983, -93.15890502929688, -65.97798156738281, -167.53944396972656, 0, 0, 0, 0, 0, 0, 
1, 2325727316, -93.37004089355469, -65.96432495117188, -167.3181610107422, 9.014068603515625, -3.9896113872528076, -0.1784701645374298, -1.0836101770401, -10.888175964355469, 1.020304560661316, 
2, 2325735649, -93.47560119628906, -65.95708465576172, -167.19345092773438, 9.024482727050781, -4.005524635314941, -0.16280922293663025, -1.2499492168426514, -11.296339988708496, 0.8914651870727539, 
3, 2325743982, -93.70238494873047, -65.94371795654297, -166.95799255371094, 9.018085479736328, -4.0102925300598145, -0.1876039057970047, -1.4124202728271484, -11.59300422668457, 0.8807584643363953, 
4, 2325752315, -93.75424194335938, -65.94300842285156, -166.88189697265625, 9.02288818359375, -4.000467300415039, -0.19129301607608795, -1.4649038314819336, -11.940614700317383, 0.9137495756149292, 
5, 2325760648, -93.99591064453125, -65.92879486083984, -166.6332244873047, 9.041891098022461, -4.005253314971924, -0.2265549600124359, -1.7506306171417236, -12.255260467529297, 0.8762502670288086, 
6, 2325768981, -94.09294891357422, -65.9325180053711, -166.5258331298828, 9.056368827819824, -4.017400741577148, -0.1985180526971817, -1.9118467569351196, -12.689654350280762, 0.8428237438201904, 
7, 2325777314, -94.34969329833984, -65.9170150756836, -166.262939453125, 9.060894012451172, -4.0001935958862305, -0.22048243880271912, -2.0081818103790283, -12.970075607299805, 0.9106757640838623, 
8, 2325785647, -94.46485900878906, -65.92289733886719, -166.12368774414062, 9.053080558776855, -3.9939329624176025, -0.2185405194759369, -2.173624277114868, -13.268302917480469, 0.7825021147727966, 
9, 2325793980, -94.73624420166016, -65.90691375732422, -165.8474578857422, 9.08181095123291, -4.004178524017334, -0.22179892659187317, -2.3095080852508545, -13.637276649475098, 0.8294787406921387, 
10, 2325802313, -94.86914825439453, -65.91344451904297, -165.72325134277344, 9.070591926574707, -4.018133163452148, -0.20995007455348969, -2.320061206817627, -13.824416160583496, 0.922842800617218, 
11, 2325810646, -95.15056610107422, -65.89784240722656, -165.43792724609375, 9.054917335510254, -3.995232582092285, -0.23651045560836792, -2.5141398906707764, -14.087984085083008, 0.6429557800292969, 
12, 2325818979, -95.29476928710938, -65.90153503417969, -165.28570556640625, 9.06164836883545, -4.0200114250183105, -0.24250853061676025, -2.508248805999756, -14.359033584594727, 0.8523009419441223, 
13, 2325827312, -95.583251953125, -65.88370513916016, -164.9944305419922, 9.08154010772705, -4.0082902908325195, -0.23966199159622192, -2.720898151397705, -14.414669036865234, 0.7816057205200195, 
14, 2325835645, -95.74039459228516, -65.88459777832031, -164.8256072998047, 9.083104133605957, -4.011144638061523, -0.23869964480400085, -2.8069369792938232, -14.734464645385742, 0.7577846050262451, 
15, 2325843978, -96.0374984741211, -65.86505126953125, -164.5251007080078, 9.093995094299316, -4.006743907928467, -0.23466677963733673, -2.743720531463623, -14.903850555419922, 0.8235617876052856, 
16, 2325852311, -96.1954345703125, -65.86534881591797, -164.3736114501953, 9.100652694702148, -3.993058681488037, -0.2488282024860382, -2.7458977699279785, -14.962890625, 0.7103469371795654, 
17, 2325860644, -96.49864196777344, -65.8455810546875, -164.06790161132812, 9.088379859924316, -4.002972602844238, -0.2772742807865143, -2.90391206741333, -15.177767753601074, 0.6964383721351624, 
18, 2325868977, -96.66566467285156, -65.84534454345703, -163.90281677246094, 9.101424217224121, -4.005838871002197, -0.2687127888202667, -2.9755804538726807, -15.186299324035645, 0.7224881052970886, 
19, 2325877310, -96.97087097167969, -65.82454681396484, -163.5960693359375, 9.086219787597656, -4.019759654998779, -0.23680409789085388, -3.0419983863830566, -15.260297775268555, 0.6925450563430786, 
20, 2325885643, -97.14128875732422, -65.82233428955078, -163.42401123046875, 9.105761528015137, -4.00602912902832, -0.25234633684158325, -3.052243947982788, -15.501686096191406, 0.6920070648193359, 
21, 2325893976, -97.45048522949219, -65.79988861083984, -163.11334228515625, 9.087238311767578, -4.023665904998779, -0.21892096102237701, -3.1020638942718506, -15.495641708374023, 0.735858678817749, 
22, 2325902309, -97.61559295654297, -65.7962875366211, -162.94400024414062, 9.103339195251465, -4.039029121398926, -0.2662169635295868, -3.054600477218628, -15.587801933288574, 0.6753578782081604, 
23, 2325910642, -97.9268569946289, -65.77277374267578, -162.63079833984375, 9.101067543029785, -4.038345813751221, -0.24267123639583588, -3.0751430988311768, -15.658906936645508, 0.7117300629615784, 
24, 2325918975, -98.09000396728516, -65.7660140991211, -162.44259643554688, 9.088730812072754, -4.024717330932617, -0.23876605927944183, -3.053473472595215, -15.672636032104492, 0.729147732257843, 
25, 2325927308, -98.40473937988281, -65.7412338256836, -162.12652587890625, 9.087894439697266, -4.040233612060547, -0.25787973403930664, -3.1871542930603027, -15.84504508972168, 0.7125241160392761, 
26, 2325935641, -98.56527709960938, -65.73226165771484, -161.96856689453125, 9.07763957977295, -4.035836696624756, -0.25084853172302246, -3.1936087608337402, -15.693331718444824, 0.7659041881561279, 
27, 2325943974, -98.87693786621094, -65.706298828125, -161.65599060058594, 9.09483528137207, -4.042559623718262, -0.24524806439876556, -3.212486505508423, -15.724888801574707, 0.7433892488479614, 
28, 2325952307, -99.03311157226562, -65.69573211669922, -161.48324584960938, 9.098591804504395, -4.028955936431885, -0.2513594627380371, -3.151806354522705, -15.674761772155762, 0.7433892488479614, 
29, 2325960640, -99.34333038330078, -65.6690902709961, -161.17172241210938, 9.093414306640625, -4.0300068855285645, -0.2537173628807068, -3.169762134552002, -15.711213111877441, 0.7012025713920593, 
30, 2325968973, -99.49897003173828, -65.65791320800781, -161.0065155029297, 9.065781593322754, -4.023494243621826, -0.2633708119392395, -3.193122386932373, -15.779010772705078, 0.696745753288269, 
31, 2325977306, -99.80902862548828, -65.62995147705078, -160.6949462890625, 9.096064567565918, -4.0214056968688965, -0.23316682875156403, -3.1479132175445557, -15.77007007598877, 0.7247421145439148, 
32, 2325985639, -99.95858001708984, -65.61713409423828, -160.53126525878906, 9.082242965698242, -4.037234306335449, -0.22926050424575806, -3.2108728885650635, -15.618769645690918, 0.837905764579773, 
33, 2325993972, -100.26392364501953, -65.58819580078125, -160.22561645507812, 9.082389831542969, -4.027379989624023, -0.23710276186466217, -3.241610527038574, -15.53030014038086, 0.7608839273452759, 
34, 2326002305, -100.40612030029297, -65.57540893554688, -160.0732879638672, 9.107945442199707, -4.022741317749023, -0.2723582684993744, -3.159132242202759, -15.427891731262207, 0.7699000239372253, 
35, 2326010638, -100.70561981201172, -65.54579162597656, -159.77276611328125, 9.116034507751465, -4.012690544128418, -0.2952984571456909, -3.116485118865967, -15.326924324035645, 0.7656225562095642, 
