sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 475497716, -151.88133239746094, -81.57552337646484, -164.82925415039062, 0, 0, 0, 0, 0, 0, 
1, 475506049, -152.02825927734375, -81.5254898071289, -164.6611328125, 9.91798210144043, -0.6752617955207825, -1.280804991722107, 2.3168718814849854, -6.698250770568848, 0.20953726768493652, 
2, 475514382, -152.0264434814453, -81.50592803955078, -164.621826171875, 9.911956787109375, -0.6906340718269348, -1.2162741422653198, 2.437284469604492, -5.616152286529541, 0.3620188236236572, 
3, 475522715, -152.11061096191406, -81.47051239013672, -164.51490783691406, 9.901803016662598, -0.7080410718917847, -1.2303962707519531, 2.587946653366089, -4.6440911293029785, 0.312608927488327, 
4, 475531048, -151.8846435546875, -81.5093765258789, -164.7119903564453, 9.903087615966797, -0.6905396580696106, -1.2193373441696167, 2.5734493732452393, -3.5883235931396484, 0.3358154296875, 
5, 475539381, -151.910888671875, -81.48977661132812, -164.6634063720703, 9.900593757629395, -0.6970136761665344, -1.2308454513549805, 2.6031877994537354, -2.494877815246582, 0.3553078770637512, 
6, 475547714, -151.6482696533203, -81.54606628417969, -164.9137420654297, 9.907332420349121, -0.6945495009422302, -1.2466171979904175, 2.7869694232940674, -1.3473856449127197, 0.35228538513183594, 
7, 475556047, -151.61009216308594, -81.5417251586914, -164.9280548095703, 9.923583030700684, -0.6866229176521301, -1.2513312101364136, 2.8812811374664307, -0.3422830402851105, 0.47272348403930664, 
8, 475564380, -151.36595153808594, -81.59591674804688, -165.15118408203125, 9.910959243774414, -0.6969798803329468, -1.2339061498641968, 2.9646553993225098, 0.8155187368392944, 0.6779959797859192, 
9, 475572713, -151.25955200195312, -81.60726165771484, -165.232666015625, 9.912698745727539, -0.7074829339981079, -1.2521114349365234, 3.095646619796753, 1.8808659315109253, 0.5976697206497192, 
10, 475581046, -150.9918975830078, -81.66280364990234, -165.49977111816406, 9.9128999710083, -0.7109248042106628, -1.2647672891616821, 3.114396572113037, 2.91383695602417, 0.6686980724334717, 
11, 475589379, -150.81654357910156, -81.68932342529297, -165.64952087402344, 9.902626037597656, -0.7015443444252014, -1.248110055923462, 3.262676954269409, 4.046677589416504, 0.7253567576408386, 
12, 475597712, -150.52027893066406, -81.7453842163086, -165.9498748779297, 9.895930290222168, -0.6867587566375732, -1.2526021003723145, 3.2439534664154053, 5.004419326782227, 0.835625946521759, 
13, 475606045, -150.2796630859375, -81.78507995605469, -166.164794921875, 9.911224365234375, -0.6961062550544739, -1.2718968391418457, 3.3543758392333984, 5.968308448791504, 0.85655277967453, 
14, 475614378, -149.97288513183594, -81.84656524658203, -166.472412109375, 9.928919792175293, -0.7052457928657532, -1.2510782480239868, 3.4433350563049316, 7.112370014190674, 0.8111645579338074, 
15, 475622711, -149.6584014892578, -81.90013122558594, -166.76071166992188, 9.911661148071289, -0.696500301361084, -1.2780004739761353, 3.487236976623535, 8.011350631713867, 0.9977640509605408, 
16, 475631044, -149.3136444091797, -81.96554565429688, -167.1016387939453, 9.927824020385742, -0.6930794715881348, -1.2600558996200562, 3.65670108795166, 8.922679901123047, 0.9886453747749329, 
17, 475639377, -148.92684936523438, -82.03316497802734, -167.46131896972656, 9.927374839782715, -0.6974111199378967, -1.297536015510559, 3.6739912033081055, 10.047223091125488, 0.9919754862785339, 
18, 475647710, -148.54812622070312, -82.10454559326172, -167.8337860107422, 9.898153305053711, -0.6849082112312317, -1.281839370727539, 3.764972686767578, 10.889930725097656, 1.0272973775863647, 
19, 475656043, -148.08639526367188, -82.18321990966797, -168.267578125, 9.931228637695312, -0.6892357468605042, -1.2891769409179688, 3.841303586959839, 11.765605926513672, 1.1000674962997437, 
20, 475664376, -147.6706085205078, -82.25914764404297, -168.67202758789062, 9.931546211242676, -0.7102788090705872, -1.3075379133224487, 3.9372544288635254, 12.598503112792969, 1.1433554887771606, 
