sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 245160389, -159.95550537109375, -80.525390625, -155.6578826904297, 0, 0, 0, 0, 0, 0, 
1, 245168722, -160.3036346435547, -80.53448486328125, -155.2891082763672, 9.752981185913086, -0.5780459046363831, -1.5056740045547485, 1.8800721168518066, -1.4458212852478027, -7.219398021697998, 
2, 245177055, -160.5572509765625, -80.54156494140625, -155.02639770507812, 9.764328002929688, -0.5767980217933655, -1.502085566520691, 1.779510498046875, -1.469821572303772, -8.05536937713623, 
3, 245185388, -160.98648071289062, -80.5545654296875, -154.57662963867188, 9.75947380065918, -0.6015443205833435, -1.4966204166412354, 1.7328927516937256, -1.4430549144744873, -8.88486099243164, 
4, 245193721, -161.11524963378906, -80.58213806152344, -154.44236755371094, 9.75439739227295, -0.5816676616668701, -1.51125967502594, 1.6351487636566162, -1.3493068218231201, -9.642274856567383, 
5, 245202054, -161.6259765625, -80.59912109375, -153.91171264648438, 9.777125358581543, -0.5950524210929871, -1.5276780128479004, 1.5344594717025757, -1.3902641534805298, -10.519229888916016, 
6, 245210387, -161.80389404296875, -80.61917114257812, -153.70587158203125, 9.785210609436035, -0.5999963283538818, -1.562442660331726, 1.3909426927566528, -1.3757919073104858, -11.29290771484375, 
7, 245218720, -162.3934326171875, -80.64045715332031, -153.09706115722656, 9.799016952514648, -0.6015156507492065, -1.5477017164230347, 1.3382796049118042, -1.2265889644622803, -12.104569435119629, 
8, 245227053, -162.632080078125, -80.64529418945312, -152.8440399169922, 9.783487319946289, -0.5915644764900208, -1.5273406505584717, 1.2707608938217163, -1.3101683855056763, -12.789676666259766, 
9, 245235386, -163.29432678222656, -80.66925811767578, -152.16348266601562, 9.780806541442871, -0.5805454254150391, -1.5197932720184326, 1.1111071109771729, -1.138962745666504, -13.517760276794434, 
10, 245243719, -163.60650634765625, -80.68000030517578, -151.8563690185547, 9.782505989074707, -0.6029873490333557, -1.5066308975219727, 1.071968674659729, -1.2865774631500244, -14.251965522766113, 
11, 245252052, -164.34146118164062, -80.70462036132812, -151.10401916503906, 9.803937911987305, -0.6023616790771484, -1.5375765562057495, 0.9077303409576416, -1.1795357465744019, -14.855364799499512, 
12, 245260385, -164.6888885498047, -80.71898651123047, -150.74583435058594, 9.81301212310791, -0.6119868159294128, -1.5372108221054077, 0.9489691257476807, -1.1410375833511353, -15.481987953186035, 
13, 245268718, -165.49009704589844, -80.74462890625, -149.9263153076172, 9.823441505432129, -0.5968971848487854, -1.54789137840271, 0.9017109274864197, -1.1166784763336182, -16.092018127441406, 
14, 245277051, -165.88644409179688, -80.7577133178711, -149.52096557617188, 9.814371109008789, -0.6012341380119324, -1.5437642335891724, 0.8121121525764465, -1.1059714555740356, -16.65609359741211, 
15, 245285384, -166.75344848632812, -80.7823715209961, -148.63693237304688, 9.820077896118164, -0.6084024906158447, -1.5634946823120117, 0.6659063100814819, -1.1601970195770264, -17.231468200683594, 
16, 245293717, -167.1930694580078, -80.79192352294922, -148.18446350097656, 9.837512016296387, -0.6232324242591858, -1.4972671270370483, 0.6334530115127563, -1.2238740921020508, -17.59718894958496, 
17, 245302050, -168.10787963867188, -80.8158950805664, -147.25289916992188, 9.84758472442627, -0.6397221684455872, -1.511474609375, 0.5716971158981323, -1.0194469690322876, -18.066852569580078, 
18, 245310383, -168.5625, -80.83170318603516, -146.7852020263672, 9.84597396850586, -0.6322007775306702, -1.5364598035812378, 0.5692893266677856, -0.8518784642219543, -18.571043014526367, 
19, 245318716, -169.5253143310547, -80.85445404052734, -145.80545043945312, 9.849770545959473, -0.6182823777198792, -1.5449202060699463, 0.5314828157424927, -0.8780563473701477, -18.889480590820312, 
20, 245327049, -170.01246643066406, -80.8675308227539, -145.30575561523438, 9.857136726379395, -0.6418976187705994, -1.5404709577560425, 0.46004462242126465, -0.9660668969154358, -19.394670486450195, 
21, 245335382, -171.025634765625, -80.88703918457031, -144.27650451660156, 9.848511695861816, -0.6290056109428406, -1.5178686380386353, 0.36972880363464355, -0.9131733775138855, -19.70511245727539, 
22, 245343715, -171.52108764648438, -80.8988265991211, -143.76284790039062, 9.868091583251953, -0.6329342722892761, -1.5300484895706177, 0.4109165072441101, -0.9306166768074036, -19.832107543945312, 
23, 245352048, -172.56027221679688, -80.91487884521484, -142.70693969726562, 9.866196632385254, -0.6430209279060364, -1.529254674911499, 0.41045549511909485, -0.8706794381141663, -20.10026741027832, 
24, 245360381, -173.0725860595703, -80.92535400390625, -142.17861938476562, 9.857112884521484, -0.6531804203987122, -1.537540316581726, 0.35902199149131775, -0.8711915612220764, -20.371519088745117, 
25, 245368714, -174.14154052734375, -80.93824005126953, -141.09384155273438, 9.890376091003418, -0.6625303030014038, -1.5404497385025024, 0.2700637876987457, -0.7545700073242188, -20.564319610595703, 
26, 245377047, -174.65086364746094, -80.94611358642578, -140.5756378173828, 9.89382266998291, -0.662371814250946, -1.5579203367233276, 0.35182446241378784, -0.8572574853897095, -20.596311569213867, 
27, 245385380, -175.73040771484375, -80.95430755615234, -139.47914123535156, 9.904899597167969, -0.6593660116195679, -1.5076611042022705, 0.3975971043109894, -0.7528795003890991, -20.712522506713867, 
28, 245393713, -176.23699951171875, -80.96049499511719, -138.95591735839844, 9.91529369354248, -0.6766362190246582, -1.5140231847763062, 0.339862585067749, -0.7976787090301514, -20.77883529663086, 
29, 245402046, -177.31591796875, -80.96432495117188, -137.8595428466797, 9.880788803100586, -0.6807271242141724, -1.5384825468063354, 0.4569196403026581, -0.7065688967704773, -20.665674209594727, 
30, 245410379, -177.79881286621094, -80.96939086914062, -137.3562774658203, 9.886735916137695, -0.7059095501899719, -1.5135053396224976, 0.4313054382801056, -0.6712980270385742, -20.609397888183594, 
31, 245418712, -178.86996459960938, -80.96961212158203, -136.26828002929688, 9.899977684020996, -0.7048546075820923, -1.5234166383743286, 0.4049484431743622, -0.5687131285667419, -20.492652893066406, 
32, 245427045, -179.33399963378906, -80.97306823730469, -135.78042602539062, 9.881065368652344, -0.6938584446907043, -1.5624665021896362, 0.38115277886390686, -0.6338245272636414, -20.549335479736328, 
33, 245435378, 179.6035614013672, -80.96871948242188, -134.70069885253906, 9.892395973205566, -0.711365818977356, -1.5447653532028198, 0.4616839289665222, -0.5792660713195801, -20.340909957885742, 
34, 245443711, 179.1803741455078, -80.97022247314453, -134.2607879638672, 9.903324127197266, -0.7240893244743347, -1.548972487449646, 0.5329427719116211, -0.5311113595962524, -20.009462356567383, 
35, 245452044, 178.14739990234375, -80.96199798583984, -133.21014404296875, 9.907988548278809, -0.7486057281494141, -1.5640186071395874, 0.551487386226654, -0.5266031622886658, -19.82534408569336, 
36, 245460377, 177.7646942138672, -80.96038818359375, -132.81005859375, 9.884955406188965, -0.7483353614807129, -1.5553146600723267, 0.6117578148841858, -0.6429175138473511, -19.527790069580078, 
37, 245468710, 176.77381896972656, -80.94746398925781, -131.8021240234375, 9.895465850830078, -0.7529250383377075, -1.5450384616851807, 0.5441873669624329, -0.639843761920929, -19.084095001220703, 
38, 245477043, 176.4445343017578, -80.94461822509766, -131.4485321044922, 9.901813507080078, -0.7326213717460632, -1.5275486707687378, 0.6935440897941589, -0.6171239614486694, -18.764225006103516, 
39, 245485376, 175.50070190429688, -80.92814636230469, -130.48704528808594, 9.892860412597656, -0.7499552369117737, -1.5756713151931763, 0.6775351166725159, -0.693659245967865, -18.285879135131836, 
40, 245493709, 175.2241668701172, -80.924072265625, -130.18740844726562, 9.903581619262695, -0.7580875754356384, -1.5818833112716675, 0.7702842950820923, -0.651805579662323, -17.918210983276367, 
41, 245502042, 174.34007263183594, -80.9045181274414, -129.2849578857422, 9.868536949157715, -0.770021915435791, -1.6043304204940796, 0.8420810699462891, -0.7921972870826721, -17.262540817260742, 
42, 245510375, 174.1334686279297, -80.8989028930664, -129.0548553466797, 9.912206649780273, -0.774245023727417, -1.5669342279434204, 0.9190515875816345, -0.724242627620697, -16.76346778869629, 
43, 245518708, 173.305908203125, -80.8779067993164, -128.2090606689453, 9.89742660522461, -0.7690532207489014, -1.57132089138031, 0.9040161967277527, -0.7480894327163696, -16.27354621887207, 
44, 245527041, 173.1674041748047, -80.87232208251953, -128.04696655273438, 9.876208305358887, -0.7728432416915894, -1.564611554145813, 1.0864663124084473, -0.7374083399772644, -15.585675239562988, 
45, 245535374, 172.41639709472656, -80.85037231445312, -127.27676391601562, 9.87667465209961, -0.7918385863304138, -1.587246298789978, 1.121225118637085, -0.7873818278312683, -14.918323516845703, 
46, 245543707, 172.34666442871094, -80.84410095214844, -127.17922973632812, 9.861831665039062, -0.787574291229248, -1.5587913990020752, 1.2688907384872437, -0.8936551213264465, -14.374249458312988, 
47, 245552040, 171.66360473632812, -80.82168579101562, -126.4769058227539, 9.860466957092285, -0.775293231010437, -1.5579575300216675, 1.231750249862671, -0.8046969771385193, -13.698699951171875, 
48, 245560373, 171.6681671142578, -80.816162109375, -126.4538803100586, 9.887231826782227, -0.7723815441131592, -1.6030713319778442, 1.397141456604004, -0.9729055762290955, -12.970359802246094, 
49, 245568706, 171.06790161132812, -80.79271697998047, -125.8324966430664, 9.878215789794922, -0.7885938882827759, -1.5508739948272705, 1.5707802772521973, -1.0007482767105103, -12.235818862915039, 
